[ 2026-01-21 23:04:08,987 ] 13 root - INFO - Initiate the data ingestion
[ 2026-01-21 23:04:14,927 ] 69 root - INFO - Performed train test split on the dataframe
[ 2026-01-21 23:04:14,927 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-21 23:04:14,928 ] 75 root - INFO - Exporting train and test file path.
[ 2026-01-21 23:04:15,407 ] 79 root - INFO - Exported train and test file path.
[ 2026-01-21 23:04:15,408 ] 91 root - INFO - data ingestion final step
[ 2026-01-21 23:04:15,409 ] 15 root - INFO - Data ingestion complete
[ 2026-01-21 23:04:15,431 ] 20 root - INFO - Data validation initiated
[ 2026-01-21 23:04:15,667 ] 36 root - INFO - Required number of columns: 2
[ 2026-01-21 23:04:15,668 ] 37 root - INFO - dataframe has 31 columns
[ 2026-01-21 23:04:15,670 ] 36 root - INFO - Required number of columns: 2
[ 2026-01-21 23:04:15,670 ] 37 root - INFO - dataframe has 31 columns
[ 2026-01-21 23:04:16,253 ] 22 root - INFO - Data validation completed
