[ 2026-01-21 22:58:50,353 ] 13 root - INFO - Initiate the data ingestion
[ 2026-01-21 22:59:00,624 ] 69 root - INFO - Performed train test split on the dataframe
[ 2026-01-21 22:59:00,624 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-21 22:59:00,626 ] 75 root - INFO - Exporting train and test file path.
[ 2026-01-21 22:59:00,794 ] 79 root - INFO - Exported train and test file path.
[ 2026-01-21 22:59:00,795 ] 91 root - INFO - data ingestion final step
[ 2026-01-21 22:59:00,796 ] 15 root - INFO - Data ingestion complete
[ 2026-01-21 22:59:00,891 ] 20 root - INFO - Data validation initiated
[ 2026-01-21 22:59:01,020 ] 36 root - INFO - Required number of columns: 2
[ 2026-01-21 22:59:01,020 ] 37 root - INFO - dataframe has 31 columns
[ 2026-01-21 22:59:01,021 ] 36 root - INFO - Required number of columns: 2
[ 2026-01-21 22:59:01,022 ] 37 root - INFO - dataframe has 31 columns
[ 2026-01-21 22:59:01,498 ] 22 root - INFO - Data validation completed
